P3_DS_Arm_Mag_L,P4_DS_Arm_W,P6_DS_Arm_Th,P9_DS_Mag_H,P11_DS_Mag_W,P18_DS_Core_Gap,P19_DS_Core_R,P22_DS_Bobbin_Th,P23_DS_Coil_Th,P273_Arm_L,P69_DS_No_Turns,P60_DS_Core_Len,P61_DS_Wire_dia_mm,P62_DS_N_Len,P63_DS_N_Th,P66_DS_Capacitance,P67_DS_VCap,P190_Time_Ipeak,P191_Vcap_max,P192_Vcap_min,P193_E_per_Farad,P194_Time_1mm,P195_Time_Parting,P350_Time_1mm_Final,P351_Time_Parting_Final
6,15,1.85,3.9,3.1,1.55,1.9,0.4,1.897366596,5.85,65,6.4,0.36,14,5,0.665,69,185,0.001818412,0.001819467,0.001819467,310.735457,92.67307831,380.6509348,100.0869246
7.152528346,12.88132086,1.70169246,3.094901928,2.294901928,1.55,1.772879252,0.4,1.38568287,7.002528346,50.16924605,6.4,0.328643549,16,4,0.806951502,77.89845237,140,0.001373064,0.001373089,0.001373089,285.9621018,74.73923061,350.3035747,80.71836906
7.152528346,12.88132086,1.70169246,3.094901928,2.294901928,1.55,2.027120748,0.4,1.650103684,7.002528346,50.16924605,6.4,0.391356451,13,4,0.523048498,77.89845237,145,0.001616379,0.00161689,0.00161689,282.4943071,72.75902621,346.0555262,78.5797483
7.152528346,12.88132086,1.70169246,3.094901928,3.905098072,1.55,2.027120748,0.4,1.38568287,7.002528346,50.16924605,6.4,0.328643549,16,4,0.523048498,77.89845237,155,0.001519506,0.001519945,0.001519945,264.4758661,86.89302169,323.9829359,93.84446343
7.152528346,12.88132086,1.70169246,3.094901928,3.905098072,1.55,1.772879252,0.4,1.732103587,7.002528346,79.83075395,6.4,0.328643549,16,5,0.806951502,60.10154763,250,0.002248283,0.00224846,0.00224846,305.3537067,117.738199,374.0582907,127.157255
7.152528346,12.88132086,1.70169246,3.094901928,3.905098072,1.55,1.772879252,0.4,1.650103684,7.002528346,50.16924605,6.4,0.391356451,13,4,0.806951502,77.89845237,145,0.001482902,0.001482988,0.001482988,258.7773341,82.64482072,317.0022343,89.25640638
7.152528346,12.88132086,1.70169246,4.705098072,2.294901928,1.55,1.772879252,0.4,1.38568287,7.002528346,50.16924605,6.4,0.328643549,16,4,0.523048498,77.89845237,135,0.001358041,0.001358684,0.001358684,278.2948128,75.15385412,340.9111457,81.16616245
7.152528346,12.88132086,1.70169246,4.705098072,2.294901928,1.55,2.027120748,0.4,1.732103587,7.002528346,79.83075395,6.4,0.328643549,16,5,0.806951502,60.10154763,270,0.002496316,0.002497285,0.002497285,309.4162444,97.28357964,379.0348994,105.066266
7.152528346,12.88132086,1.70169246,4.705098072,2.294901928,1.55,2.027120748,0.4,1.650103684,7.002528346,50.16924605,6.4,0.391356451,13,4,0.806951502,77.89845237,155,0.001649981,0.001650649,0.001650649,273.5989723,72.91798114,335.158741,78.75141963
7.152528346,12.88132086,1.70169246,4.705098072,3.905098072,1.55,1.772879252,0.4,1.732103587,7.002528346,79.83075395,6.4,0.328643549,16,5,0.523048498,60.10154763,235,0.002214848,0.002214793,0.002214793,298.8880667,119.2230377,366.1378817,128.7608807
