Vge,Ic,Tj,Vce,Eon
17.73956,48.273081,95.802581,1.084048,2.385561
14.388784,76.381824,93.863596,1.452031,3.941828
18.585979,90.429459,128.568366,1.586119,5.201699
16.97368,72.348899,113.816596,1.363086,4.00245
10.941773,96.357911,28.322221,1.669134,3.45285
19.756224,78.418512,31.182392,1.198099,2.460916
17.611397,86.813342,100.194807,1.492665,4.388276
17.860643,12.296303,85.774009,0.562247,0.656489
11.281136,73.508937,57.523082,1.455834,3.291001
14.503859,44.568781,77.332011,1.030039,2.166487
13.70798,55.757276,119.73879,1.314168,3.282147
19.26765,65.756139,128.326436,1.249342,3.666098
16.438651,97.011697,95.152883,1.717478,4.854664
18.227616,98.47323,73.171185,1.572165,4.221548
14.434142,29.534596,58.837095,0.840505,1.235303
12.272387,73.641596,90.239809,1.4701,3.77993
15.545848,75.24837,64.343702,1.399414,3.285531
10.638173,35.302793,95.511892,1.117902,2.065855
18.276312,13.263108,109.581548,0.635969,0.59112
16.316644,5.053749,33.259901,0.410729,0.02766
17.580877,77.95697,25.133433,1.262538,2.417113
13.54526,49.480274,51.534642,1.068046,2.025405
19.70698,98.568477,136.813937,1.694487,5.711734
18.931211,47.032372,105.786345,1.024209,2.368947
17.783835,97.813781,46.495044,1.535149,3.68029
11.946387,41.746024,136.282995,1.166399,2.761405
14.66721,79.574533,83.744493,1.462699,3.795789
10.438038,9.397108,84.51147,0.782402,0.791092
11.542895,55.990709,141.942743,1.433745,3.729138
16.83049,80.403919,32.435837,1.346987,2.64149
17.447622,92.545465,51.897284,1.459071,3.605571
19.675097,82.435726,98.221416,1.40145,4.057748
13.258254,4.660102,49.435814,0.577356,0.218459
13.704597,37.897532,109.940876,1.030348,2.126715
14.695558,5.821149,51.761536,0.532352,0.242464
11.894714,11.818947,37.394621,0.665252,0.41481
11.299215,67.855257,50.873145,1.371018,2.880032
14.757049,71.612561,77.841754,1.33528,3.292408
12.269093,77.598348,47.017287,1.450628,3.074266
16.69814,86.680198,41.836503,1.416345,3.136029
14.371519,74.203715,132.535236,1.521408,4.495433
18.326782,80.286288,65.04965,1.332462,3.264757
17.002651,5.847407,70.094836,0.491419,0.217079
13.123666,24.21898,31.908801,0.759941,0.830278
18.322598,62.56788,69.671203,1.149328,2.660437
18.047644,85.954405,58.100897,1.400137,3.421518
13.874784,1.445512,101.310633,0.595531,0.24928
12.883281,51.948305,50.673787,1.140076,2.100167
16.824955,68.051453,136.045682,1.345542,4.013725
11.397525,3.931122,141.208328,0.797205,0.738449
11.999082,40.7342,37.478882,1.003784,1.559593
10.073623,89.667853,38.42537,1.65145,3.41055
17.869244,67.489668,39.415805,1.171845,2.294137
16.648509,24.528178,102.446157,0.760719,1.270716
17.051654,85.425332,40.246121,1.35457,3.137553
17.80729,35.455111,131.54779,0.959814,2.047149
14.589158,85.481122,119.283939,1.626524,4.779349
15.687412,30.595421,127.476107,0.954878,1.978932
11.39797,59.441705,90.757566,1.343634,3.223178
11.145301,40.297067,149.584651,1.261662,2.918301
16.68403,28.20768,30.521888,0.717668,0.774703
14.710962,88.769199,75.158121,1.583897,4.093317
15.652361,19.571775,65.492084,0.691058,0.706508
17.649989,9.396348,143.580687,0.628264,0.650481
16.347183,34.850767,97.10762,0.937394,1.779413
15.535794,72.046276,125.773871,1.474464,4.277496
15.592072,80.935729,46.292649,1.408943,3.061198
13.039501,99.875594,147.329268,1.884388,6.381576
10.308178,30.339844,87.329943,1.042969,1.830711
14.367174,41.386253,86.70901,1.056248,2.193121
12.145847,14.545307,146.360591,0.934066,1.311439
14.085286,57.912321,72.591545,1.20005,2.663419
18.534031,99.760424,74.690628,1.585956,4.44621
12.339395,70.38722,98.094088,1.485598,3.691827
10.583027,59.926071,41.006576,1.284783,2.475509
12.813839,39.84454,65.135703,1.001644,1.783332
12.935938,91.614577,49.15104,1.617891,3.703959
16.619165,50.194743,37.910435,0.991156,1.694976
15.570322,14.302324,133.268076,0.772814,1.016934
17.838982,37.172468,98.666396,0.912625,1.80227
16.643135,7.6495,69.834099,0.526994,0.297325
14.063869,20.995925,76.083672,0.811768,1.100285
18.140204,2.749209,78.939875,0.42865,0.028143
11.669729,45.874712,104.143648,1.196946,2.668347
10.227121,63.819486,140.846174,1.540932,4.292918
10.900479,34.985954,141.597452,1.193591,2.513148
17.223594,42.617795,73.936497,0.912631,1.880287
14.618772,95.961718,66.157807,1.619087,4.223235
11.612718,75.444349,81.380813,1.478958,3.866344
15.010448,54.544807,95.991779,1.196862,2.798154
11.523121,29.169547,82.727239,0.947429,1.589558
16.963204,89.802683,107.344176,1.575733,4.741704
14.461563,24.274615,94.299878,0.859276,1.381134
13.810212,33.20893,65.089443,0.901549,1.471671
13.015121,90.997417,68.216351,1.642574,4.073376
16.302826,53.424663,72.324098,1.090673,2.37673
13.618126,74.489477,36.829971,1.372432,2.708408
10.876499,59.483735,45.757829,1.288528,2.447561
